year_month,year,month,series_name,category,region,value,index_2015,pct_change_2015
2015-09-01,2015,9,Sweets,processed_food,National,218.193,100.96016256557473,0.960162565574737
2015-10-01,2015,10,Sweets,processed_food,National,216.697,100.26794786025374,0.26794786025375633
2015-11-01,2015,11,Sweets,processed_food,National,215.569,99.7460105690759,-0.25398943092409876
2015-12-01,2015,12,Sweets,processed_food,National,215.451,99.69141074606262,-0.308589253937382
2016-01-01,2016,1,Sweets,processed_food,National,215.261,99.60349577680394,-0.39650422319606116
2016-02-01,2016,2,Sweets,processed_food,National,215.325,99.63310924013318,-0.3668907598668248
2016-03-01,2016,3,Sweets,processed_food,National,215.343,99.64143802669453,-0.3585619733054758
2016-04-01,2016,4,Sweets,processed_food,National,216.681,100.26054449442145,0.26054449442145056
2016-05-01,2016,5,Sweets,processed_food,National,215.596,99.75850374891793,-0.24149625108206874
2016-06-01,2016,6,Sweets,processed_food,National,215.527,99.7265767337661,-0.273423266233913
2016-07-01,2016,7,Sweets,processed_food,National,215.47,99.7002022429885,-0.2997977570115115
2016-08-01,2016,8,Sweets,processed_food,National,215.865,99.88297283697365,-0.11702716302635591
2016-09-01,2016,9,Sweets,processed_food,National,216.173,100.02548762924562,0.02548762924560645
2016-10-01,2016,10,Sweets,processed_food,National,214.893,99.43321836266081,-0.5667816373391867
2016-11-01,2016,11,Sweets,processed_food,National,213.867,98.95847752866393,-1.0415224713360645
2016-12-01,2016,12,Sweets,processed_food,National,213.943,98.99364351636741,-1.0063564836325822
2017-01-01,2017,1,Sweets,processed_food,National,214.976,99.47162332291593,-0.5283766770840798
2017-02-01,2017,2,Sweets,processed_food,National,213.745,98.90202686419258,-1.097973135807421
2017-03-01,2017,3,Sweets,processed_food,National,214.636,99.31430179897933,-0.6856982010206669
2017-04-01,2017,4,Sweets,processed_food,National,214.014,99.0264959522483,-0.973504047751708
2017-05-01,2017,5,Sweets,processed_food,National,214.418,99.21343093951411,-0.7865690604858845
2017-06-01,2017,6,Sweets,processed_food,National,215.648,99.78256468787293,-0.21743531212706502
2017-07-01,2017,7,Sweets,processed_food,National,216.592,100.21936327197922,0.2193632719792273
2017-08-01,2017,8,Sweets,processed_food,National,216.24,100.05648922366841,0.05648922366840756
2017-09-01,2017,9,Sweets,processed_food,National,215.8,99.85289666327989,-0.14710333672011386
2017-10-01,2017,10,Sweets,processed_food,National,214.78,99.38093209147011,-0.6190679085298751
2017-11-01,2017,11,Sweets,processed_food,National,214.994,99.47995210947727,-0.5200478905227308
2017-12-01,2017,12,Sweets,processed_food,National,214.975,99.4711606125514,-0.5288393874486014
2018-01-01,2018,1,Sweets,processed_food,National,217.689,100.72695654185696,0.7269565418569661
2018-02-01,2018,2,Sweets,processed_food,National,217.059,100.43544901220977,0.43544901220976556
2018-03-01,2018,3,Sweets,processed_food,National,217.177,100.49004883522305,0.4900488352230488
2018-04-01,2018,4,Sweets,processed_food,National,215.453,99.69233616679166,-0.30766383320833884
2018-05-01,2018,5,Sweets,processed_food,National,215.44,99.68632093205291,-0.3136790679470931
2018-06-01,2018,6,Sweets,processed_food,National,215.968,99.93063200451913,-0.06936799548087003
2018-07-01,2018,7,Sweets,processed_food,National,214.285,99.15189046103303,-0.8481095389669652
2018-08-01,2018,8,Sweets,processed_food,National,214.046,99.0413026839129,-0.9586973160870963
2018-09-01,2018,9,Sweets,processed_food,National,216.771,100.30218842722817,0.3021884272281822
